id,tipo,subtipo,etapa,desarrollador,nombre,area_m2,unidades,estado,Fecha adjudicacion,Fecha entrega,propietario,observaciones,Pilar,Cuadrante,Unidades terminadas
02-08-02,AREA VERDE,,,,,469.056 m²,,,,,,,,,
07-04-01,AREA VERDE,,,,,"1,002.649 m²",,,,,,,,,
05-03-02,AREA VERDE,,,,,"1,321.491 m²",,,,,,,,,
06-01-01,AREA VERDE,,,,,"3,005.287 m²",,,,,,,,,
01-03-01,AREA VERDE,,,,,"3,186.243 m²",,,,,,,,,
06-02-02,COMERCIAL,,,,,"1,033.456 m²",,,,,,,,,
09-06-01,COMERCIAL,,,,,"1,133.952 m²",,,,,,,,,
01-01-02,COMERCIAL,,,,,"1,162.884 m²",,,,,,,,,
02-09-02,COMERCIAL,,,,,"1,168.106 m²",,,,,,,,,
09-05-01,COMERCIAL,,,,,"1,176.709 m²",,,,,,,,,
09-04-01,COMERCIAL,,,,,"1,219.906 m²",,,,,,,,,
07-03-01,COMERCIAL,,,,,"1,258.031 m²",,,,,,,,,
08-03-01,COMERCIAL,,,,,"1,288.575 m²",,,,,,,,,
02-05-02,COMERCIAL,,,,,"1,462.184 m²",,,,,,,,,
03-02-02,COMERCIAL,,,,,"1,593.489 m²",,,,,,,,,
01-02-02,COMERCIAL,,,,,"1,706.054 m²",,,,,,,,,
02-03-02,COMERCIAL,,,,,"1,720.259 m²",,,,,,,,,
06-03-01,COMERCIAL,,,,,"1,724.180 m²",,,,,,,,,
02-01-01,COMERCIAL,,,,,"1,758.331 m²",,,,,,,,,
06-05-01,COMERCIAL,,,,,"1,849.741 m²",,,,,,,,,
06-04-01,COMERCIAL,,,,,"1,945.897 m²",,,,,,,,,
01-05-01,COMERCIAL,,,,,"2,069.560 m²",,,,,,,,,
01-02-01,COMERCIAL,,,,,"2,210.760 m²",,,,,,,,,
06-06-01,COMERCIAL,,,,,"2,636.790 m²",,,,,,,,,
01-04-01,COMERCIAL,,,,,"2,708.916 m²",,,,,,,,,
06-07-01,COMERCIAL,,,,,"7,004.929 m²",,,,,,,,,
05-01-01,HABITACIONAL,,,,,"10,215.880 m²",,,,,,,,,
05-02-01,HABITACIONAL,,,,,"10,271.238 m²",,,,,,,,,
04-02-01,HABITACIONAL,,,,,"10,364.996 m²",,,,,,,,,
04-01-01,HABITACIONAL,,,,,"10,579.592 m²",,,,,,,,,
09-07-01,HABITACIONAL,,,,,"11,184.263 m²",,,,,,,,,
04-02-02,HABITACIONAL,,,,,"12,221.872 m²",,,,,,,,,
04-03-01,HABITACIONAL,,,,,"12,328.505 m²",,,,,,,,,
04-01-02,HABITACIONAL,,,,,"12,756.993 m²",,,,,,,,,
02-10-02,HABITACIONAL,,,,,"13,359.217 m²",,,,,,,,,
05-02-02,HABITACIONAL,,,,,"13,479.100 m²",,,,,,,,,
08-01-01,HABITACIONAL,,,,,"14,004.129 m²",,,,,,,,,
02-06-02,HABITACIONAL,,,,,"14,152.002 m²",,,,,,,,,
