No. Carpeta,Nombre del Proyecto,Lote,Desarrollador,Georeferencia,Superficie Total (m²),Cant. Edificios,Cant. Manzanas,VIVIENDAS ADJUDICADAS,Total de Apartamentos planos arq.,VIVIENDAS REALES ,Distribución de Apartamentos,Dormitorios,Áreas Verdes (m²),Áreas Recreativas (m²),Áreas de Huertos (m²),Total Estacionamientos,Estacionamientos Generales,Estacionamientos Discapacitados,Cisterna (si/no),Cant. De filtrantes,Linderos del Proyecto,Ubicación / Lotes Colindantes,Accesos Principales,Infraestructura y Equipamiento,Seguridad,Observaciones,FECHA DE ENTREGA DE PROYECTO, TIEMPO PARALIZADOS,Cant. Imbornales,Cant. De filtrantes2,Fecha de Aprobación de master plan,Estatus,Column1
1,Camino Verde,09-27-01,"Consorcio AGK-SI , SRL",420604.146;2044206.915,"88,119.59",79,1,"1,264","1,264",,"|Tipo A, 51m²|
|Tipo B, 65m²|
|Tipo C, 80m²|                                 ","2H, 3H","16,083.12",1028.45 (5.3%),3167.9,1281,1144,137,,,"Norte: 3.00 m
Sur: 3.00 m
Este: 3.00 m
Oeste: 3.00 m","Norte: Boulevard Oro y la Paz
Este: Av. La Gaviota, Lotes 09-27-05, Lote 09-27-04, Lote 09-27-03, Lote 09-27-02
Oeste: Calle Encarnación Mendoza
Sur: Calle La Mañosa Oeste","Boulevard el Oro y La Paz, Av. La Gaviota, Calle Encarnación Mnedoza, Calle La Mañosa Oeste","Depósito de residuos sólidos, tanque de gas conforme a norma",Sin garita de control de acceso ,,,,,,,EJECUCION,09-27-01
2,Residencial Camino Real,09-28-02,"GTME DOMINICANA, S.A.S",420883.743;2044217.026,"15,335.02",13,1,224,272,,"|Tipo A+,80,72.50 m²|
|Tipo B,72,65.00 m²|
|Tipo C,72,53.80 m²|","2H, 3H","2,454.84 (16.11%)",951.40 (6.2%),507.68 (3.31%),272,266,6,,,"Norte: 2.00 m
Sur: 3.70 m
Este: 13.60 m
Oeste: 2.00 m","Norte: Lote Residencial 09-28-01
Este: Av. Camino Real
Oeste: Lotes 09-28-06 al 09-28-03
Sur: Calle Segunda","Av. Camino Real, Calle Segunda",Depósito de residuos sólidos y tanque de gas conforme a norma,Garita de control de acceso para entrada y salida,Cumple con los retiros y normativas establecidas,,,,,02 de octubre de 2025,PARALIZADO,09-28-02
3,La Gaviota,08-23-01,Consorcio Antillano,420822.856;2044733.093,"29,072.00",13,1,480,480,,"|Tipo R1, 55 m²|
|Tipo R2, 69 m²|
|Tipo R3, 80 m²|","2H, 3H",7554.38 (25.98%),3505.09 (12.10%),101.39 (0.34%),481,469,12,,,"Norte: 5.00 m
Sur: 2.00 m
Este: 5.00 m
Oeste: 5.00 m","Norte: Boulevard la Mujer
Sur:   Lote 08-23-07
Este: Av. Camino Real
Oeste: Av. La Gaviota","Av. Camino Real, Av. La Gaviota","Parques, área infantil, 1/2 cancha basketball, huerto, multiuso",2 Garitas de seguridad,Planos solicitados,,,,,,PARALIZADO,08-23-01
4,La Maravilla,07-31-01,Consorcio Pequeño Burgues,421341.948;2044353.617,"12,852.43",11,1,196,196,,"|Tipo C, 80m²|
|Tipo D, 90m²|
|Tipo E, 100m²|",3H,1945.43 (15%),194.11 (2%),392 (3%),198,192,6,,,"Norte:  4m
Sur: 2.81m
Este: 2.00 m
Oeste: 4.45m","Norte: Boulevard el Oro y la Paz
Sur:  Lote 07-31-03, Lote 07-31-02
Este: Lote 07-31-02
Oeste:  Calle Fragata",Calle Fragata,"Huertos, área infantil, gazebo, ciclovía",1 Garita de seguridad,,,,,,,EJECUCION,07-31-01
5,Res. Dos Amigos,06-26-01,Consorcio Dos Amigos,421399.141;2044629.442,"99,932.90",70.5,1,"1,320","1,410",772 en proceso ,"|Tipo R1, 55 m²|
|Tipo R2, 69 m²|
|Tipo R3, 80 m²|","2H, 3H","15,656.73",469.7(3%),2776.6(17.73%),2298*,,,NO ,14,"Norte:  5.00m
Sur: 3.00m
Este: 3.00m
Oeste: 3.00m","Norte: Boulevard la Mujer
Sur: Boulevard el Oro y la Paz
Este: Av. El Sembrador
Oeste: Calle Fragata, Lote 06-26-04, Lote 06-26-03, Lote 06-26-02","Boulevard el Oro y La Paz,  Calle Fragata","Gazebo, juego infantil, ciclovía, cancha basketball",2 Garitas de seguridad,"Proyecto en ejecucion, hasta el momento se levantaron 656 viviendas ",,,14,,,EJECUCION,06-26-01
6,Res. Palmera IV,05-17-05,Constructora del Pais CODELPA,#N/A,"47,735.35",41,1,656,656,,"|Tipo A, 58m²|
|Tipo B, 75m²|
|Tipo C, 84m²|
|Tipo E, 75m²|
|Tipo F, 84m²|","2H, 3H","15,000.62 (31%)",855.00 (1.80%),1097.90 (2%),669,0,0,,,"Norte:  3.1m
Sur: 4.41m
Este: 11.55m
Oeste: 8.55m","Norte: Calle Papa Juan
Sur: Calle Angela Gaviño
Este: Lote 05-17-03
Oeste: Lote 05-17-02, 05-17-01","Calle Papa Juan, Calle Angela Gaviño",,4 Garitas de seguridad,,,,,,,EJECUCION,05-17-05
7,Palmera III,04-16-01,Constructora del Pais CODELPA,;,"23,704.06",16,1,336,336,,"|Tipo A, 58m²|
|Tipo B, 75m²|
|Tipo C, 84m²|
|Tipo E, 75m²|
|Tipo F, 84m²|","2H, 3H",6005.3 (25.33%),758 (3.20%),850.98 (3.59%),354,0,0,,,"Norte: 
Sur: 
Este: 
Oeste:","Norte:  Calle Río Verde
Este: Av. El Sembrador
Oeste: Av. Camino Real NO
Sur: Calle Papa Juan","Calle Río Verde, Av. El Sembrador, Av. Camino Real NO, Calle Papa Juan",,4 Garitas de seguridad,,23-Feb,,,,23-Feb,CONCLUIDO,04-16-01
8,Res. 5ta Residence,03-09-02,Consorcio Conabesa Bello & Diaz,421395.264;2045802.456,"16,298.90",30,1,240,240,,"|Tipo -Rango 3-, 70-80 m²|",3H,2011 (12.24%),830.12 (5.05%),491.86 (2.99%),241,278,5,No,NA,"Norte: 144.97 m
Sur: 144.91 m
Este: 113.09 m
Oeste: 111.8 m","Norte:  Lote 03-09-08
Este: Av. Camino Real
Oeste: Terreno exterior CJB
Sur: Lote 03-09-03",Calle Camino Real,Depósito de residuos sólidos y tanque de gas conforme a norma,2 Garitas de seguridad,,,,,,30/05/2019,EJECUCION,03-09-02
9,Res. Rio Grande,03-09-01,Consorcio Rio Grande,421248.531;2046101.944,"29,450.42",22,1,444,440,100 en proceso ,"|Tipo A, 52.76 m²|
|Tipo B, 66.9 m²|
|Tipo C, 79.81m²|","2H, 3H",5588.94 (19%),3106.49 (9%),1441.20 (4%),440,426,14,NO ,4,,"Norte:  Calle Manuel Sicuri
Este: Lote 03-09-07
Oeste: Lote 02-07-01
Sur: Terreno exterior CJB",Calle Manuel Sicuri,"Gazebo, juego infantil, ciclovía, huertos, gimnasia al aire libre, parques",,,21-Aug,,4,,21-Aug,EJECUCION,03-09-01
10,Habitad II,03-09-08,Consorcio Ingasa-Risek,421444.713;2045903.506,"9,082.36",8.5,2,128,136,128,"|Tipo R1, 50 m²|
|Tipo R2, 69 m²|
|Tipo R3, 80 m²|","2H, 3H",492.95 (5%),569.32 (6%),292.26 (3%),150,150,0,NO,2,"Norte: 2.00m
Sur:  6.50m
Este: 5.00m
Oeste: 5.00m","Norte: Lote educacional 03-09-07 
Sur: Lote habitacional 03-09-02
Este: Ave. Camino Real 
Oeste: Limite CJB",Avenida Camino Real ,Depósito de residuos sólidos y tanque de gas conforme a norma,Sin garita de control de acceso ,,24-May,,0,,24-May,CONCLUIDO,03-09-08
