id,tipo,subtipo,etapa,desarrollador,nombre,area_m2,unidades_hab,estado,aÃ±o_asignacion,aÃ±o_entrega,propietario,observaciones,Pilar,Referencia,Cuadrante
01-01-01,Institucional,Planta de tratamiento,Etapa 1-B,BISONÃ“,Bloque 01,500,50,Terminado,2016,2018,,,Servicios Básicos,PLANTA DE TRATAMIENTO,
01-01-02,Institucional,terminal de autobus,Etapa 1-B,BISONÃ“,Bloque 02,500,50,Terminado,2016,2018,,,Infraestructura y Movilidad,TERMINAL DE AUTOBUS,
01-01-03,Habitacional,Habitacional,Etapa 1-C,CONAMEX,Bloque 03,600,60,Terminado,2017,2019,,,Vivienda,Vivienda,
01-01-04,Habitacional,Habitacional,N/A,CODELPA,Plaza Central,2500,0,Terminado,2019,2021,,,Vivienda,Vivienda,
01-01-05,Habitacional,Habitacional,N/A,DOS AMIGOS,Centro Comercial Norte,1800,0,En ConstrucciÃ³n,2022,2025,,,Vivienda,Vivienda,
01-01-06,Comercial,Comercial,N/A,Gobierno,Escuela Primaria #1,800,0,Terminado,2018,2019,,,Economía,COMERCIAL,
01-01-07,Habitacional,Habitacional,N/A,Gobierno,Polideportivo Central,3000,0,En Progreso,2022,2025,,,Vivienda,Vivienda,
01-01-08,Institucional,estacion de combustible,,,,,,,,,,,Economía,estacion de combustible,
01-01-09,Habitacional,Habitacional,,,,,,,,,,,Vivienda,Vivienda,
01-01-10,Comercial,Comercial,,,,,,,,,,,Economía,Comercial,
01-02-01,Institucional,area verde,,,,,,,,,,,Medio Ambiente,VERDE,
01-02-02,Institucional,policia,,,,,,,,,,,Seguridad,POLICIA,
01-02-03,Institucional,bomberos,,,,,,,,,,,Seguridad,BOMBEROS,
01-02-04,Habitacional,Habitacional,,,,,,,,,,,Vivienda,Vivienda,
01-02-05,Institucional,Pendiente,,,,,,,,,,,0,COMERCIAL,
01-02-06,Institucional,area verde,,,,,,,,,,,Medio Ambiente,VERDE,
