Año,Categoría,Subcategoría,Cantidad,% Avance,Meta Total,Observaciones
2015,Habitacional,En Construcción,0,0,0,
2015,Habitacional,Terminadas,280,0,0,
2015,Habitacional,Habitadas,0,0,0,
2015,Comercial,Plazas,0,0,0,
2015,Comercial,Comercios,0,0,0,
2015,Infraestructura Urbana,Vial,0,0,100,
2015,Infraestructura Urbana,Hidrosanitaria,0,0,100,
2015,Infraestructura Urbana,Eléctrica,0,0,100,
2015,Infraestructura Urbana,Telecomunicaciones,0,0,100,
2015,Equipamientos,Plazas y Parques,0,0,0,
2015,Equipamientos,Medio Ambiental,0,0,0,
2015,Equipamientos,Deportivo,0,0,0,
2015,Equipamientos,Cultural,0,0,0,
2015,Equipamientos,Educativo,0,0,0,
2015,Equipamientos,Seguridad,0,0,0,
2016,Habitacional,En Construcción,0,0,0,
2016,Habitacional,Terminadas,1364,0,0,
2016,Habitacional,Habitadas,0,0,0,
2016,Comercial,Plazas,0,0,0,
2016,Comercial,Comercios,0,0,0,
2016,Infraestructura Urbana,Vial,0,0,100,
2016,Infraestructura Urbana,Hidrosanitaria,0,0,100,
2016,Infraestructura Urbana,Eléctrica,0,0,100,
2016,Infraestructura Urbana,Telecomunicaciones,0,0,100,
2016,Equipamientos,Plazas y Parques,0,0,0,
2016,Equipamientos,Medio Ambiental,0,0,0,
2016,Equipamientos,Deportivo,0,0,0,
2016,Equipamientos,Cultural,0,0,0,
2016,Equipamientos,Educativo,0,0,0,
2016,Equipamientos,Seguridad,0,0,0,
2017,Habitacional,En Construcción,0,0,0,
2017,Habitacional,Terminadas,2448,0,0,
2017,Habitacional,Habitadas,0,0,0,
2017,Comercial,Plazas,0,0,0,
2017,Comercial,Comercios,0,0,0,
2017,Infraestructura Urbana,Vial,0,0,100,
2017,Infraestructura Urbana,Hidrosanitaria,0,0,100,
2017,Infraestructura Urbana,Eléctrica,0,0,100,
2017,Infraestructura Urbana,Telecomunicaciones,0,0,100,
2017,Equipamientos,Plazas y Parques,0,0,0,
2017,Equipamientos,Medio Ambiental,0,0,0,
2017,Equipamientos,Deportivo,0,0,0,
2017,Equipamientos,Cultural,0,0,0,
2017,Equipamientos,Educativo,0,0,0,
2017,Equipamientos,Seguridad,0,0,0,
2018,Habitacional,En Construcción,0,0,0,
2018,Habitacional,Terminadas,4000,0,0,
2018,Habitacional,Habitadas,0,0,0,
2018,Comercial,Plazas,0,0,0,
2018,Comercial,Comercios,0,0,0,
2018,Infraestructura Urbana,Vial,0,0,100,
2018,Infraestructura Urbana,Hidrosanitaria,0,0,100,
2018,Infraestructura Urbana,Eléctrica,0,0,100,
2018,Infraestructura Urbana,Telecomunicaciones,0,0,100,
2018,Equipamientos,Plazas y Parques,0,0,0,
2018,Equipamientos,Medio Ambiental,0,0,0,
2018,Equipamientos,Deportivo,0,0,0,
2018,Equipamientos,Cultural,0,0,0,
2018,Equipamientos,Educativo,0,0,0,
2018,Equipamientos,Seguridad,0,0,0,
2019,Habitacional,En Construcción,0,0,0,
2019,Habitacional,Terminadas,5912,0,0,
2019,Habitacional,Habitadas,0,0,0,
2019,Comercial,Plazas,0,0,0,
2019,Comercial,Comercios,0,0,0,
2019,Infraestructura Urbana,Vial,0,0,100,
2019,Infraestructura Urbana,Hidrosanitaria,0,0,100,
2019,Infraestructura Urbana,Eléctrica,0,0,100,
2019,Infraestructura Urbana,Telecomunicaciones,0,0,100,
2019,Equipamientos,Plazas y Parques,0,0,0,
2019,Equipamientos,Medio Ambiental,0,0,0,
2019,Equipamientos,Deportivo,0,0,0,
2019,Equipamientos,Cultural,0,0,0,
2019,Equipamientos,Educativo,0,0,0,
2019,Equipamientos,Seguridad,0,0,0,
2020,Habitacional,En Construcción,0,0,0,
2020,Habitacional,Terminadas,7416,0,0,
2020,Habitacional,Habitadas,4600,0,0,
2020,Comercial,Plazas,0,0,0,
2020,Comercial,Comercios,0,0,0,
2020,Infraestructura Urbana,Vial,0,0,100,
2020,Infraestructura Urbana,Hidrosanitaria,0,0,100,
2020,Infraestructura Urbana,Eléctrica,0,0,100,
2020,Infraestructura Urbana,Telecomunicaciones,0,0,100,
2020,Equipamientos,Plazas y Parques,0,0,0,
