id,tipo,subtipo,etapa,desarrollador,nombre,area_m2,unidades_hab,estado,aÃ±o_asignacion,aÃ±o_entrega,propietario,observaciones,Coordenadas X,Coordenadas Y,Pilar,Cuadrante,Estatus habitacional
01-01-01,Institucional,PLANTA DE TRATAMIENTO,,BISONÃ“,Bloque 01,34623.98,50,Terminado,2016,2018,,Ejemplo - reemplazar con datos reales,421404.58,2047612.33,Servicios Básicos,,no encontrado
01-01-02,Institucional,TERMINAL DE AUTOBUS,,BISONÃ“,Bloque 02,13314.93,50,Terminado,2016,2018,,,421484.46,2047137.4,Infraestructura y Movilidad,,no encontrado
01-01-03,Habitacional,HABITACIONAL,,CONAMEX,Bloque 03,27055.42,60,Terminado,2017,2019,,,421568.38,2046984.9,Viviendas,,NO INICIADO
01-01-04,Habitacional,HABITACIONAL,,CODELPA,Plaza Central,16388.14,0,Terminado,2019,2021,,,421796.24,2046911.55,Viviendas,,EJECUCION
01-01-05,Habitacional,HABITACIONAL,,DOS AMIGOS,Centro Comercial Norte,18021.41,0,En ConstrucciÃ³n,2022,2025,,,421796.24,2046911.55,Viviendas,,EJECUCION
01-01-06,Comercial,COMERCIAL,,Gobierno,Escuela Primaria #1,32997.47,0,Terminado,2018,2019,,,421735.49,2046679.69,Economía,,no encontrado
01-01-07,Habitacional,HABITACIONAL,,Gobierno,Polideportivo Central,55545.63,0,En Progreso,2022,2025,,,422023.38,2046064.37,Viviendas,,EJECUCION
01-02-01,Institucional,VERDE,,,,2074.88,,,,,,,421412.49,2047187.53,Medio Ambiente,,no encontrado
01-02-02,Institucional,POLICIA,,,,1636.19,,,,,,,421455.27,2047109.57,Seguridad,,no encontrado
01-02-03,Institucional,BOMBEROS,,,,2493.71,,,,,,,421486.45,2047052.68,Seguridad,,no encontrado
01-02-04,Habitacional,HABITACIONAL,,,,80173.71,,,,,,,421415.72,2047013.9,Viviendas,,NO INICIADO
01-02-05,Institucional,COMERCIAL,,,,2106.4,,,,,,,421692.08,2046677.73,Economía,,no encontrado
01-02-06,Institucional,VERDE,,,,2279.93,,,,,,,421437.86,2046526.12,Medio Ambiente,,no encontrado
01-02-07,Institucional,N/A,,,,0,,,,,,,N/A,N/A,Servicios Básicos,,no encontrado
01-02-08,Habitacional,EDUCACIONAL,,,,10000.56,,,,,,,421317.01,2046615.74,Viviendas,,EJECUCION
01-03-01,Habitacional,HABITACIONAL,,,,141828.6,,,,,,,421789.07,2046324.28,Viviendas,,CONCLUIDO
01-03-02,Institucional,ESTANCIA INFANTIL,,,,4099.86,,,,,,,421280.47,2046502.53,Educación,,no encontrado
01-03-03,Comercial,COMERCIAL,,,,3160.08,,,,,,,421259.19,2046417.91,Economía,,no encontrado
01-03-04,Comercial,COMERCIAL,,,,2108.62,,,,,,,421707.9,2046648.89,Economía,,no encontrado
02-04-01,Habitacional,HABITACIONAL,,,,32858.19,,,,,,,421178.28,2046617.03,Viviendas,,CONCLUIDO
02-04-02,Habitacional,VIVIENDAS,,,,24233.85,,,,,,,421033.41,2046531.16,Viviendas,,CONCLUIDO
